,W3_1H_A165,W3_1H_R166,W3_24H_A167,W3_24H_R168,W3_6H_A169,W3_6H_R170,W3_D14_A171,W3_D14_R172,W3_D3_A173,W3_D3_R174,W3_D7_A175,W3_D7_R176,W3_PRE_A177,W3_PRE_R178,W5_1H_A179,W5_1H_R180,W5_24H_A181,W5_24H_R182,W5_6H_A183,W5_6H_R184,W5_D10_A185,W5_D10_R186,W5_D14_A187,W5_D14_R188,W5_D3_A189,W5_D3_R190,W5_D7_A191,W5_D7_R192,W5_PRE_A193,W5_PRE_R194,W3_1H_A201,W3_1H_R202,W3_24H_A203,W3_24H_R204,W3_6H_A205,W3_6H_R206,W3_D14_R207,W3_PRE_A208,W3_PRE_R209,W4_1H_A210,W4_1H_R211,W4_24H_A212,W4_24H_R213,W4_6H_A214,W4_6H_R215,W4_D10_A216,W4_D10_R217,W4_D14_A218,W4_D14_R219,W4_D3_A220,W4_D3_R221,W4_D7_A222,W4_D7_R223,W4_PRE_A224,W4_PRE_R225,W5_1H_A226,W5_1H_R227,W5_24H_A228,W5_24H_R229,W5_6H_A230,W5_6H_R231,W5_PRE_A232,W5_PRE_R233,W6_1H_R234,W6_24H_A235,W6_24H_R236,W6_6H_A237,W6_6H_R238,W6_D3_A239,W6_D3_R240,W6_D7_A241,W6_D7_R242,W6_D10_A243,W6_D10_R244,W6_D14_A245,W6_D14_R246,W6_PRE_A247,W6_PRE_R248,W7_1H_A249,W7_1H_R250,W7_24H_A251,W7_24H_R252,W7_6H_A253,W7_6H_R254,W7_D10_A255,W7_D10_R256,W7_D14_A257,W7_D14_R258,W7_D7_A259,W7_D7_R260,W7_PRE_A261,W7_PRE_R262,W8_1H_A263,W8_1H_R264,W8_24H_A265,W8_24H_R266,W8_6H_A267,W8_6H_R268,W8_D10_A269,W8_D10_R270,W8_D14_A271,W8_D14_R272,W8_D3_A273,W8_D3_R274,W8_D7_A275,W8_D7_R276,W8_PRE_A277,W8_PRE_R278,W9_1H_A279,W9_1H_R280,W9_24H_A281,W9_24H_R282,W9_6H_A283,W9_6H_R284,W9_D10_A285,W9_D10_R286,W9_D14_A287,W9_D14_R288,W9_D3_A289,W9_D3_R290,W9_D7_A291,W9_D7_R292,W9_PRE_A293,W9_PRE_R294,W10_PRE_R307,W10_D3_R308,W10_D10_R309,W10_D14_R310,W11_PRE_A311,W11_1H_A312,W11_6H_A313,W11_24H_A314,W11_D3_A315,W11_D7_A316,W11_D10_A317,W11_D14_A318,W12_PRE_R319,W12_1H_R320,W12_6H_R321,W12_24H_R322,W12_D3_R323,W12_D7_R324,W12_D10_R325,W12_D14_R326
ssc-miR-155-5p,21,41,4,101,238,3,0,0,2,676,5,1,128,6,0,2,0,10,4,6,8,3,2,6,30,0,3,1,1,0,7,3,5,18,112,0,0,55,5,24,3,7,14,15,4,8,111,3,0,0,41,2,14,2,3,0,1,0,8,1,0,0,0,2,3,3,12,1,3,5,15,7,1,2,1,5,2,16,0,0,8,2,4,18,4,1,14,12,3,3,4,1,3,14,1,10,7,1,3,4,3,17,3,3,3,6,0,0,4,3,2,0,0,2,61,49,14,9,14,24,51,12,0,0,1486,126,156,77,23,59,357,84,98,144,50,17,252,550,77,1,598,259,2,2
ssc-miR-1296-5p,0,3,0,16,8,1,0,0,2,8,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,72,2,0,7,0,7,27,6,11,19,10,0,12,24,20,0,23,24,0,0
ssc-miR-340,4,14,5,55,75,2,0,0,5,131,0,2,4,3,0,3,1,2,2,3,4,2,0,0,2,0,1,0,0,0,4,1,2,19,24,1,0,3,1,2,2,1,0,6,9,4,20,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11,1,7,2,2,0,5,0,1,0,4,6,0,5,0,0,0,0,4,2,1,0,4,5,0,3,1,0,1,2,3,0,4,0,0,4,0,3,10,8,0,2,1,0,0,0,2,8,1,0,32,18,0,0,14,6,10,4,0,0,402,71,18,9,97,10,656,160,197,18,8,1,21,46,19,0,27,19,0,0
ssc-miR-374a-5p,5,9,0,31,50,1,0,0,0,142,1,0,6,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,4,17,0,0,2,1,0,3,0,0,1,3,0,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1,2,0,0,0,1,0,0,1,0,6,0,0,4,4,0,1,0,0,0,0,0,1,0,0,12,8,0,0,3,4,6,2,0,0,358,41,75,55,26,5,481,94,107,7,3,0,2,32,6,0,46,7,0,0
ssc-miR-361-5p,34,72,0,438,342,3,1,0,2,858,5,3,110,3,0,1,1,0,1,3,7,3,1,1,7,0,0,0,0,0,13,5,0,75,100,1,0,49,1,26,7,4,6,2,2,2,32,1,0,0,15,0,4,5,1,0,0,0,0,1,0,0,0,5,11,1,26,6,7,7,39,6,8,1,5,10,8,23,2,0,2,5,9,22,6,1,8,27,13,8,6,0,14,3,6,9,12,6,7,23,3,9,14,9,6,10,2,1,3,5,1,4,0,1,27,34,6,0,5,8,77,8,0,0,2692,334,229,244,78,199,1092,257,310,647,93,18,616,1189,712,5,1150,662,7,8
ssc-miR-137,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ssc-miR-95,2,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,2,0,2,2,18,1,7,1,2,0,5,11,4,0,3,2,0,0
ssc-miR-26a,39,182,11,548,942,19,6,2,20,2549,21,26,285,10,1,11,10,23,11,27,11,9,3,4,35,14,10,2,35,6,24,11,8,152,391,11,0,183,4,40,10,10,20,19,17,20,255,10,0,0,71,4,5,12,22,1,5,10,16,7,6,8,2,12,19,13,57,17,13,32,63,13,43,3,24,37,20,62,4,0,20,1,41,45,21,18,37,70,28,41,43,2,20,17,11,19,19,4,23,51,14,41,65,42,6,40,4,8,0,20,17,15,2,2,137,148,20,1,49,59,169,70,1,1,12693,323,204,131,564,163,2575,467,692,275,82,24,499,975,462,4,1360,621,4,4
ssc-miR-26b-5p,55,239,16,667,1082,28,24,0,20,3315,14,33,318,3,4,14,10,20,5,11,14,15,5,16,32,22,4,2,10,4,23,17,21,183,485,17,0,197,4,93,52,22,24,51,20,22,336,25,0,0,65,11,9,37,22,2,10,7,22,1,4,6,0,30,59,19,78,25,42,48,107,18,42,9,30,48,31,86,13,0,21,4,55,60,21,20,40,148,65,42,55,2,21,13,21,53,40,24,32,101,43,78,84,58,14,74,6,7,12,21,17,33,1,3,245,164,28,11,60,75,198,141,0,0,17089,2109,1059,856,1368,253,9846,2898,3227,979,235,36,760,1733,368,0,1244,755,5,10
ssc-miR-27a,135,338,26,1789,1080,32,19,0,13,2007,20,14,187,42,2,9,3,11,4,19,18,10,1,4,20,2,13,0,2,1,22,9,12,199,187,5,0,42,14,82,45,55,22,35,32,41,75,26,0,0,133,8,18,13,14,1,3,1,3,0,2,1,1,18,131,37,113,35,33,39,41,53,39,14,48,61,35,112,12,2,46,10,40,123,6,2,115,107,104,86,51,5,20,9,22,65,51,21,39,82,53,42,80,81,12,70,4,8,31,57,13,36,3,8,429,322,21,13,38,38,172,105,0,0,21649,5577,2416,1981,5911,251,62026,17350,34764,1071,164,19,1564,4540,1668,5,2538,1859,23,18
